FERIADO,DOMINGO,SABADO,DIA_UTIL,PRECIPITACAO,TEMPERATURA,HORA,c#ACIMA_MEDIA_FREQUENCIA
0,0,1,0,0.0,20.2,19,1
0,0,1,0,0.0,18.6,20,0
0,0,1,0,0.0,15.4,21,0
0,0,1,0,0.0,13.9,22,1
0,0,1,0,0.0,13.2,23,0
0,1,0,0,0.0,12.6,00,0
0,1,0,0,0.0,12.4,01,0
0,1,0,0,0.0,12.2,02,0
0,1,0,0,0.0,11.4,04,0
0,1,0,0,0.0,10.8,05,0
0,1,0,0,0.0,10.3,06,0
0,1,0,0,0.0,10.3,07,0
0,1,0,0,0.0,10.1,08,0
0,1,0,0,0.0,10.4,09,0
0,1,0,0,0.0,12.1,10,0
0,1,0,0,0.0,14.9,11,0
0,1,0,0,0.0,17.0,12,1
0,1,0,0,0.0,18.7,13,0
0,1,0,0,0.0,20.0,14,0
0,1,0,0,0.0,22.2,15,0
0,1,0,0,0.0,22.8,16,0
0,1,0,0,0.0,22.9,17,0
0,1,0,0,0.0,22.7,18,1
0,1,0,0,0.0,22.1,19,1
0,1,0,0,0.0,20.6,20,0
0,1,0,0,0.0,16.9,21,0
0,1,0,0,0.0,16.1,22,0
0,1,0,0,0.0,15.6,23,0
0,0,0,1,0.0,14.1,00,0
0,0,0,1,0.0,13.9,01,0
0,0,0,1,0.0,13.6,02,0
0,0,0,1,0.0,12.4,04,0
0,0,0,1,0.0,12.0,05,0
0,0,0,1,0.0,11.6,06,0
0,0,0,1,0.0,11.5,07,1
0,0,0,1,0.0,11.4,08,0
0,0,0,1,0.0,11.3,09,1
0,0,0,1,0.0,13.3,10,1
0,0,0,1,0.0,16.0,11,1
0,0,0,1,0.0,18.0,12,1
0,0,0,1,0.0,19.2,13,1
0,0,0,1,0.0,21.1,14,1
0,0,0,1,0.0,23.4,15,1
0,0,0,1,0.0,24.2,16,1
0,0,0,1,0.0,24.6,17,1
0,0,0,1,0.0,24.6,18,1
0,0,0,1,0.0,23.9,19,1
0,0,0,1,0.0,23.7,20,1
0,0,0,1,0.0,23.0,21,0
0,0,0,1,0.0,16.4,22,1
0,0,0,1,0.0,15.8,23,0
0,0,0,1,0.0,15.9,00,0
0,0,0,1,0.0,16.0,01,0
0,0,0,1,0.0,16.1,02,0
0,0,0,1,0.0,15.1,04,0
0,0,0,1,0.0,13.8,05,0
0,0,0,1,0.0,13.1,06,0
0,0,0,1,0.0,13.3,07,0
0,0,0,1,0.0,12.7,08,1
0,0,0,1,0.0,12.7,09,1
0,0,0,1,0.0,15.3,10,0
0,0,0,1,0.0,16.7,11,1
0,0,0,1,0.0,19.1,12,1
0,0,0,1,0.0,20.9,13,1
0,0,0,1,0.0,22.8,14,1
0,0,0,1,0.0,24.6,15,1
0,0,0,1,0.0,25.2,16,1
0,0,0,1,0.0,25.4,17,1
0,0,0,1,0.0,25.3,18,1
0,0,0,1,0.0,24.8,19,1
