DATA,DATA_HORA_COMPARADOR,TEMPERATURA,PRECIPITACAO
2022-05-12 15:00:00,2022-05-12T15:00:00,22.3,0.1
2022-05-12 16:00:00,2022-05-12T16:00:00,22.9,0.1
2022-05-12 17:00:00,2022-05-12T17:00:00,23.1,0.0
2022-05-12 18:00:00,2022-05-12T18:00:00,23.2,0.0
2022-05-12 19:00:00,2022-05-12T19:00:00,22.6,0.0
2022-05-12 20:00:00,2022-05-12T20:00:00,21.3,0.0
2022-05-12 21:00:00,2022-05-12T21:00:00,18.7,0.0
2022-05-12 22:00:00,2022-05-12T22:00:00,17.3,0.0
2022-05-12 23:00:00,2022-05-12T23:00:00,17.1,0.0
2022-05-13 00:00:00,2022-05-13T00:00:00,17.4,0.0
2022-05-13 01:00:00,2022-05-13T01:00:00,15.8,0.0
2022-05-13 02:00:00,2022-05-13T02:00:00,15.2,0.0
2022-05-13 03:00:00,2022-05-13T03:00:00,14.7,0.0
2022-05-13 04:00:00,2022-05-13T04:00:00,14.3,0.0
2022-05-13 05:00:00,2022-05-13T05:00:00,14.0,0.0
2022-05-13 06:00:00,2022-05-13T06:00:00,13.5,0.0
2022-05-13 07:00:00,2022-05-13T07:00:00,13.4,0.0
2022-05-13 08:00:00,2022-05-13T08:00:00,13.7,0.0
2022-05-13 09:00:00,2022-05-13T09:00:00,13.6,0.0
2022-05-13 10:00:00,2022-05-13T10:00:00,15.0,0.0
2022-05-13 11:00:00,2022-05-13T11:00:00,16.4,0.0
2022-05-13 12:00:00,2022-05-13T12:00:00,17.6,0.0
2022-05-13 13:00:00,2022-05-13T13:00:00,19.0,0.0
2022-05-13 14:00:00,2022-05-13T14:00:00,20.3,0.1
2022-05-13 15:00:00,2022-05-13T15:00:00,22.1,0.0
2022-05-13 16:00:00,2022-05-13T16:00:00,22.8,0.1
2022-05-13 17:00:00,2022-05-13T17:00:00,23.1,0.0
2022-05-13 18:00:00,2022-05-13T18:00:00,23.2,0.0
2022-05-13 19:00:00,2022-05-13T19:00:00,22.6,0.0
2022-05-13 20:00:00,2022-05-13T20:00:00,21.2,0.0
2022-05-13 21:00:00,2022-05-13T21:00:00,19.4,0.0
2022-05-13 22:00:00,2022-05-13T22:00:00,17.0,0.0
2022-05-13 23:00:00,2022-05-13T23:00:00,16.1,0.0
2022-05-14 00:00:00,2022-05-14T00:00:00,15.5,0.0
2022-05-14 01:00:00,2022-05-14T01:00:00,15.0,0.0
2022-05-14 02:00:00,2022-05-14T02:00:00,14.7,0.0
2022-05-14 03:00:00,2022-05-14T03:00:00,14.0,0.0
2022-05-14 04:00:00,2022-05-14T04:00:00,13.9,0.0
2022-05-14 05:00:00,2022-05-14T05:00:00,14.0,0.0
2022-05-14 06:00:00,2022-05-14T06:00:00,13.8,0.0
2022-05-14 07:00:00,2022-05-14T07:00:00,13.9,0.0
2022-05-14 08:00:00,2022-05-14T08:00:00,13.6,0.0
2022-05-14 09:00:00,2022-05-14T09:00:00,13.6,0.0
2022-05-14 10:00:00,2022-05-14T10:00:00,15.2,0.0
2022-05-14 11:00:00,2022-05-14T11:00:00,16.4,0.0
2022-05-14 12:00:00,2022-05-14T12:00:00,17.8,0.0
2022-05-14 13:00:00,2022-05-14T13:00:00,18.9,0.1
