HORA,TIPO_DIA,PRECIPITACAO,TEMPERATURA,ACIMA_MEDIA_FREQUENCIA
13,DIA_UTIL,0.0,17.4,1
14,DIA_UTIL,0.0,18.8,1
15,DIA_UTIL,0.0,20.4,1
16,DIA_UTIL,0.0,20.6,1
17,DIA_UTIL,0.0,20.8,1
18,DIA_UTIL,0.0,20.8,1
19,DIA_UTIL,0.0,19.8,1
20,DIA_UTIL,0.0,18.4,1
21,DIA_UTIL,0.0,16.2,0
22,DIA_UTIL,0.0,14.2,1
23,DIA_UTIL,0.0,12.8,0
00,DIA_UTIL,0.0,12.4,0
01,DIA_UTIL,0.0,12.4,0
02,DIA_UTIL,0.0,11.3,0
04,DIA_UTIL,0.0,10.3,0
05,DIA_UTIL,0.0,10.4,0
06,DIA_UTIL,0.0,10.2,0
07,DIA_UTIL,0.0,10.0,0
08,DIA_UTIL,0.0,10.2,0
09,DIA_UTIL,0.0,10.7,1
10,DIA_UTIL,0.0,12.5,1
11,DIA_UTIL,0.0,14.1,1
12,DIA_UTIL,0.0,16.1,1
13,DIA_UTIL,0.0,17.2,1
14,DIA_UTIL,0.0,18.1,1
15,DIA_UTIL,0.0,20.0,1
16,DIA_UTIL,0.0,20.6,1
17,DIA_UTIL,0.0,20.9,1
18,DIA_UTIL,0.0,20.5,1
19,DIA_UTIL,0.0,19.8,1
20,DIA_UTIL,0.0,18.4,1
21,DIA_UTIL,0.0,15.6,1
22,DIA_UTIL,0.0,13.3,1
23,DIA_UTIL,0.0,12.2,0
00,SABADO,0.0,11.5,0
01,SABADO,0.0,11.1,0
02,SABADO,0.0,10.6,0
04,SABADO,0.0,9.3,0
05,SABADO,0.0,9.1,0
06,SABADO,0.0,8.9,0
07,SABADO,0.0,8.5,0
08,SABADO,0.0,8.5,0
09,SABADO,0.0,8.4,0
10,SABADO,0.0,10.1,0
11,SABADO,0.0,12.7,1
12,SABADO,0.0,14.8,1
13,SABADO,0.0,17.0,1
14,SABADO,0.0,18.2,1
15,SABADO,0.0,20.4,0
16,SABADO,0.0,20.8,0
17,SABADO,0.0,21.1,1
18,SABADO,0.0,21.0,1
19,SABADO,0.0,20.2,1
20,SABADO,0.0,18.6,0
21,SABADO,0.0,15.4,0
22,SABADO,0.0,13.9,1
23,SABADO,0.0,13.2,0
00,DOMINGO,0.0,12.6,0
01,DOMINGO,0.0,12.4,0
02,DOMINGO,0.0,12.2,0
04,DOMINGO,0.0,11.4,0
05,DOMINGO,0.0,10.8,0
06,DOMINGO,0.0,10.3,0
07,DOMINGO,0.0,10.3,0
08,DOMINGO,0.0,10.1,0
09,DOMINGO,0.0,10.4,0
10,DOMINGO,0.0,12.1,0
11,DOMINGO,0.0,14.9,0
12,DOMINGO,0.0,17.0,1
13,DOMINGO,0.0,18.7,0
14,DOMINGO,0.0,20.0,0
15,DOMINGO,0.0,22.2,0
16,DOMINGO,0.0,22.8,0
17,DOMINGO,0.0,22.9,0
18,DOMINGO,0.0,22.7,1
19,DOMINGO,0.0,22.1,1
20,DOMINGO,0.0,20.6,0
21,DOMINGO,0.0,16.9,0
22,DOMINGO,0.0,16.1,0
23,DOMINGO,0.0,15.6,0
00,DIA_UTIL,0.0,14.1,0
01,DIA_UTIL,0.0,13.9,0
02,DIA_UTIL,0.0,13.6,0
04,DIA_UTIL,0.0,12.4,0
05,DIA_UTIL,0.0,12.0,0
06,DIA_UTIL,0.0,11.6,0
07,DIA_UTIL,0.0,11.5,1
08,DIA_UTIL,0.0,11.4,0
09,DIA_UTIL,0.0,11.3,1
10,DIA_UTIL,0.0,13.3,1
11,DIA_UTIL,0.0,16.0,1
12,DIA_UTIL,0.0,18.0,1
13,DIA_UTIL,0.0,19.2,1
14,DIA_UTIL,0.0,21.1,1
15,DIA_UTIL,0.0,23.4,1
16,DIA_UTIL,0.0,24.2,1
17,DIA_UTIL,0.0,24.6,1
18,DIA_UTIL,0.0,24.6,1
19,DIA_UTIL,0.0,23.9,1
20,DIA_UTIL,0.0,23.7,1
21,DIA_UTIL,0.0,23.0,0
22,DIA_UTIL,0.0,16.4,1
23,DIA_UTIL,0.0,15.8,0
00,DIA_UTIL,0.0,15.9,0
01,DIA_UTIL,0.0,16.0,0
02,DIA_UTIL,0.0,16.1,0
04,DIA_UTIL,0.0,15.1,0
05,DIA_UTIL,0.0,13.8,0
06,DIA_UTIL,0.0,13.1,0
07,DIA_UTIL,0.0,13.3,0
08,DIA_UTIL,0.0,12.7,1
09,DIA_UTIL,0.0,12.7,1
10,DIA_UTIL,0.0,15.3,0
11,DIA_UTIL,0.0,16.7,1
12,DIA_UTIL,0.0,19.1,1
13,DIA_UTIL,0.0,20.9,1
14,DIA_UTIL,0.0,22.8,1
15,DIA_UTIL,0.0,24.6,1
16,DIA_UTIL,0.0,25.2,1
17,DIA_UTIL,0.0,25.4,1
18,DIA_UTIL,0.0,25.3,1
19,DIA_UTIL,0.0,24.8,1
